Too Much Information,,,,
Already primed in memory or repeated often,,,,
,Availability heuristic,judging likelihood by how easily examples come to mind.,"1) After viewing plane-crash news, you think flying is super risky.
2) You overestimate shark attacks after a viral video.
3) You think your city is âcrimeyâ because you saw 3 crime posts.
4) You assume a test is âimpossibleâ becauseyou remember the hardest question.
5) You think a brand is âeverywhereâ because you just noticed it a lot while walking around town","1) You check base rates (stats) before deciding.
2) You remember the news is selective, not typical.
3) You sample multiple sources, not just what you recall.
4) You use actual frequencies (e.g., accident rates).
5) You deliberately recall non-salient examples too."
,Attentional bias,your attention is pulled toward certain cues (often threats/desires).,"1) Social anxiety â you fixate on peopleâs frowns.
2) Dieting â you notice every bakery.
3) Phobia â you instantly spot spiders.
4) Craving â you keep noticing vape shops.
5) After a bad grade, you only see red marks.","1) Mindfully re-focus on the whole scene.
2) You notice neutral cues equally.
3) You use checklists to scan systematically.
4) You practice exposure and attention training.
5) You can describe positives and negatives evenly."
,Illusory truth effect,"repeated statements feel more true, even if false.","1) A rumor seems believable after hearing it 10 times.
2) Repeated ad claims feel âfactual.â
3) âEveryone saysâ¦â makes a myth stick.
4) Reposting a misquote makes it seem real.
5) Catchy slogans feel like evidence.","1) You verify with reliable sources.
2) you base your claims off given data.
3) You check original data.
4) You label claims as âunverified.â
5) You change your belief when evidence contradicts it."
,Mere exposure effect,familiarity increases liking.,"You like a song more after more listens.
A classmate seems nicer after seeing them often.
A logo feels more trustworthy because itâs familiar.
You start preferring a style you see repeatedly.
A catchphrase becomes appealing over time.","Overexposure makes you annoyed instead.
You dislike something even after many exposures.
You judge quality with criteria, not comfort.
You prefer novelty on purpose.
Familiarity doesnât change your preference."
,Context effect,judgments change depending on surrounding options/situation.,"A âdecoyâ product makes the target look best.
The middle menu price feels âreasonableâ vs extremes.
Same test question feels harder when youâre tired.
A scent seems nicer in a cozy store than at home.
You rate food better when youâre very hungry.","You use fixed standards (rubric/budget).
You decide before seeing extra options.
You do blind comparisons.
Your rating stays stable across different contexts.
You compare to your needs, not the set."
,Cue-dependent forgetting,you canât recall without the right reminder cues.,"You forget a name until you see the personâs desk.
You blank in a test until you see a keyword.
You canât recall a song until the intro plays.
You remember an idea only when you open that notebook.
A smell unlocks a memory you couldnât access.","You recall without prompts.
You practice retrieval in many settings.
You understand the concept well enough to reconstruct it.
You use spaced repetition so recall needs fewer cues.
You can explain it in your own words anytime."
,Mood-congruent memory bias,your mood makes matching memories easier to recall.,"Sad â you remember failures.
Happy â you remember wins.
Angry â you remember insults.
Anxious â you remember scary possibilities.
Confident â you recall times you succeeded.","You can recall balanced memories despite mood.
You use a written record to keep perspective.
You list evidence for both sides.
You ask a neutral person to reality-check.
Your recall doesnât shift much with mood."
,Frequency illusion,noticing something makes it feel suddenly common,"Learn a new word â see it everywhere.
Buy a car model â spot it constantly.
Study a bias â hear it daily.
Start a hobby â notice it around you more.
Hear a song once â it seems to appear nonstop.","You track counts and see itâs normal.
You compare to a baseline week.
You realize attention changed, not frequency.
You stop looking and it âdisappears.â
You check actual data/trends before concluding."
,Baader Meinhof Phenomenon,frequency illusion + feeling it must be meaningful.,"See a term twice â think itâs a âsign.â
Notice a number repeatedly â assume fate.
Spot a topic 3 times â think itâs trending.
You assume your niche interest is now mainstream.
Coincidences feel like proof of importance.","You attribute it to selective attention.
You accept coincidence as normal.
You check trend data before deciding itâs common.
You separate ânoticedâ from âimportant.â
You avoid meaning-making without evidence."
,Empathy gap,"underestimating how much emotions, hunger, pain, or cravings change choices.","Not hungry â plan tiny lunch; hungry â regret.
Calm â think you wonât panic; stressed â you do.
Not angry â say youâd forgive; angry â you canât.
Not tired â overbook; exhausted â you crash.
No craving â think quitting is easy; craving â hard.","You expect to  work better when well fed and slept.
You delay decisions when emotional.
You use if-then plans (snack, walk, sleep).
You remember past hot-state behavior realistically.
You design habits that work in both states"
,Omission bias,harmful inaction feels less bad than harmful action.,"You donât intervene, even though doing something would help.
âAt least I didnât cause itâ feels morally cleaner.
You avoid switching plans though staying causes harm.
You donât correct misinformation to avoid âstarting drama.â
You keep a risky investment because selling feels âactive.â","You judge by outcome and responsibility, not action/inaction.
You treat omissions as choices with consequences.
You choose the least-harm option even if itâs active.
You use expected-value thinking.
You act when inaction predictably harms."
,Base rate fallacy,ignoring overall odds (base rates) when judging probability.,"âShy personâ â assume librarian, ignoring job proportions.
Think a rare disease is likely after one symptom.
Overtrust a âpositiveâ test without considering rarity.
One scammy text â assume all texts are scams.
Vivid story â you overestimate a rare event.","You start with base rates, then update with evidence.
You ask âHow common is this overall?â
You use Bayesian updating.
You compute rough real-world probabilities.
You compare to population statistics."
"Strange, funny, visually striking, or anthropomorphic ",,,,
,Bizarreness effect,unusual/weird info is remembered better than ordinary info.,"1. Original price makes a sale look amazing.
2. First trials in an experiment that were great make the following fails seem terrible
3. Starting bid shapes the final price.
4. First impression anchors your opinion of someone.
5. Suggested donation sets what feels ânormal.â","1. The weird part distracts you from the real lesson.
2. You forget the concept but remember the silly detail.
3. Meaningful (not weird) info is remembered better.
4. You remember less when the weirdness is confusing.
5. Practice/retrieval beats weirdness."
,Humor effect,humorous material is remembered better than non-humorous material.,"1. A pun helps you remember a term.
2. A meme makes a rule stick.
3. A funny analogy helps recall a science concept.
4. A joke example anchors a history event.
5. You remember a teacherâs funny line on a test.","1. You remember the joke but not the content.
2. Humor derails attention and lowers learning.
3. The joke offends â you disengage.
4. Serious relevance beats humor for recall.
5. You learn equally well with deliberate practice alone."
,Von Restorff effect,the item that stands out in a group is remembered best.,"1. One red word in a black list is recalled.
2. One odd shape among circles is noticed.
3. One loud sound in silence is remembered.
4. One bolded stat on a slide sticks.
5. One unique name in a class is remembered.","1. Everything is highlighted â nothing stands out.
2. You miss it because youâre distracted.
3. You remember first/last instead (not the standout).
4. The standout is irrelevant so you ignore it.
5. Understanding (not distinctness) drives recall."
,Picture superiority effect,pictures/images are remembered better than words alone.,"1. You recall a diagram better than a paragraph.
2. Image flashcards stick more than text-only.
3. You remember a map better than directions.
4. A chart makes data easier to recall.
5. You recognize faces better than names.","1. A cluttered image harms memory.
2. Clear text beats a vague picture.
3. Abstract ideas need language more than images.
4. Retrieval practice makes words as memorable.
5. Images donât help if you donât understand them."
,Self-relevance effect,information related to âmeâ is remembered and valued more.,"1. You remember feedback about you most.
2. You recall facts tied to your hobby.
3. You notice your name in noise.
4. Personalized advice sticks more.
5. You remember your role in events best.","1. You remember impersonal info because itâs meaningful.
2. You follow objective priorities over personal interest.
3. You recall othersâ details well too.
4. You separate ego from judging evidence.
5. Relevance doesnât change whatâs true."
,Negativity bias,negative events/information weigh more than positive ones.,"1. One insult outweighs five compliments.
2. A bad review dominates your impression.
3. You replay one mistake all day.
4. Threats grab attention faster than opportunities.
5. Failures feel more memorable than wins.","1. You weigh evidence proportionally.
2. You keep a âwins listâ to balance.
3. You savor positives deliberately.
4. You reframe mistakes as learning data.
5. Small negatives donât hijack your attention."
